face_id,src,dst,face_length,normal_x,normal_y,center_distance,elevation_src,elevation_dst,elevation_diff,bed_slope,manning_src,manning_dst,manning_mean,manning_diff,ip_src,ip_dst,ip_mean,ip_diff,landcover_ip_src,landcover_ip_dst,area_src,area_dst,area_mean,area_ratio,zone_src,zone_dst,same_zone,zone3_touching,zone3_internal,surface_gradient_rms,face_target_mean,face_target_std,face_target_rms
27194,9707,10943,8.592191696,0.5814552903,-0.8135783672,104.4500292,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,5754.945312,7243.671875,6499.308594,1.258686483,1,1,1,0,0,0.0002877524379,417367.8438,119620.0312,434171.4688
27195,10941,10942,48.66220093,0.7880247831,-0.6156435609,79.92031851,18.35369301,-2,-20.35369301,-0.2546748235,0.045,0.045,0.045,0,10,10,10,0,10,10,4793.432861,5618.661621,5206.047241,1.172158197,2,1,0,0,0,0.04004460816,7950.024902,21053.3457,22504.36133
27196,10941,10940,59.86910629,-0.6902023554,0.7236164212,79.92031851,18.35369301,30.6370182,12.2833252,0.1536946477,0.045,0.045,0.045,0,10,10,10,0,10,10,4793.432861,6431.134766,5612.283813,1.341655334,2,1,0,0,0,0.0696523301,70848.17969,56622.39844,90694.875
27197,10941,9823,81.09118652,-0.802405417,-0.5967793465,61.40795883,18.35369301,31.21058273,12.85688972,0.2093684592,0.045,0.045,0.045,0,10,10,10,0,10,10,4793.432861,5611.481201,5202.457031,1.170660227,2,1,0,0,0,0.0531975417,120946.4688,93491.79688,152868.4531
27198,10942,9824,83.39079285,-0.5801634192,-0.8145000935,90.04311047,-2,24.32204246,26.32204246,0.2923271123,0.045,0.045,0.045,0,10,10,10,0,10,10,5618.661621,7431.39502,6525.02832,1.322627259,1,1,1,0,0,0.04016519717,152514.6562,106842.2344,186214.875
27199,10942,10943,89.88102722,0.8295877576,-0.5583763719,79.92031851,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,5618.661621,7243.671875,6431.166748,1.289216608,1,1,1,0,0,2.43767734e-05,1285654.25,452770.0938,1363050.875
27200,9717,10948,103.5547638,0.9851952791,0.171435833,76.16340003,-2,-0.195409536,1.804590464,0.02369366997,0.045,0.045,0.045,0,10,10,10,0,10,10,7566.137695,7534.109131,7550.123413,1.004251142,1,1,1,0,0,0.001592848882,318049.7188,147648.5156,350650.4062
27201,9636,9713,51.44396591,-0.4379694164,-0.8989898562,100,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,7205.717529,11900.46362,9553.090576,1.651530687,1,0,0,0,0,9.001357748e-05,6120.402344,68541.36719,68814.08594
27202,9636,10946,63.65913773,0.5121218562,-0.8589128256,65.83992451,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,7205.717529,5461.322266,6333.519897,1.31940896,1,1,1,0,0,0.0001081429369,589175.4375,114171.2578,600135.625
27203,9641,10951,30.53212357,0.1372468472,0.9905368686,83.96459766,-2,21.22389412,23.22389412,0.2765915013,0.045,0.045,0.045,0,10,10,10,0,10,10,9154.386719,4928.184082,7041.2854,1.857557787,0,2,0,0,0,0.1507924868,-79533.21875,34331.49219,86626.69531
